46168:
 num     #instances         #bytes  class name (module)
 146:          3042         121680  io.opentelemetry.sdk.internal.RateLimiter
 147:          2451         117648  kotlinx.coroutines.internal.DispatchedContinuation
 148:          4883         117192  com.intellij.openapi.actionSystem.Constraints
 149:          3589         114848  java.util.logging.LogManager$LogNode (java.logging@21.0.8)
 150:          2029         113624  java.util.logging.Logger (java.logging@21.0.8)
 151:           448         113128  [Ljava.lang.invoke.MethodHandle; (java.base@21.0.8)
 152:          2823         112920  com.intellij.util.containers.LinkedCustomHashMap$Entry
 153:          7030         112480  java.util.HashMap$KeySet (java.base@21.0.8)
 154:          1754         112256  java.net.URL (java.base@21.0.8)
 155:          1735         111040  kotlin.reflect.jvm.internal.impl.metadata.jvm.JvmProtoBuf$StringTableTypes$Record
 156:          1138         109248  sun.font.CFont (java.desktop)
 157:          1920         107520  com.intellij.ui.icons.CachedImageIcon
 158:          4471         107304  ai.grazie.detector.utils.collections.array.TwoOptimizedFloatArray
 159:          1670         106880  org.h2.mvstore.cache.CacheLongKeyLIRS$Entry
 160:          3327         106464  com.intellij.psi.impl.source.FileTrees
 161:          1319         105520  java.awt.Font (java.desktop)
 162:          2621         104840  com.fasterxml.jackson.databind.introspect.AnnotatedMethod
 163:          2184         104832  com.intellij.util.containers.LinkedCustomHashMap
 164:          1871         104776  com.intellij.openapi.util.registry.RegistryValue
 165:          4234         104176  [Lorg.languagetool.rules.patterns.PatternToken;
 166:          1427         102744  java.lang.reflect.Constructor (java.base@21.0.8)
 167:          3156         100992  kotlin.reflect.jvm.internal.impl.name.FqNameUnsafe
 168:          2091         100368  org.jdom.ImmutableElement
 169:           625          99344  [Ljava.util.Hashtable$Entry; (java.base@21.0.8)
 170:          3077          98464  java.lang.ref.ReferenceQueue (java.base@21.0.8)
 171:          3961          95064  java.awt.AWTEventMulticaster (java.desktop)
 172:          2365          94600  org.jdom.ContentList
 173:          3929          94296  java.lang.Class$AnnotationData (java.base@21.0.8)
 174:          3841          92184  jdk.internal.net.http.hpack.QuickHuffman$ImmutableNode (java.net.http@21.0.8)
 175:          1643          92008  com.intellij.openapi.extensions.impl.InterfaceExtensionPoint
 176:          1437          91968  java.lang.ClassValue$ClassValueMap (java.base@21.0.8)
 177:          3727          89448  java.lang.invoke.LambdaForm$NamedFunction (java.base@21.0.8)
 178:          1833          87984  java.lang.invoke.BoundMethodHandle$Species_LLL (java.base@21.0.8)
 179:          3662          87888  com.intellij.openapi.actionSystem.impl.ActionManagerStateActionItemDescriptor
 180:          2156          86240  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Annotation
 181:           715          85800  kotlin.reflect.jvm.internal.impl.serialization.deserialization.descriptors.DeserializedSimpleFunctionDescriptor
 182:          2647          84704  java.lang.invoke.MethodTypeForm (java.base@21.0.8)
 183:          3501          84024  kotlin.reflect.jvm.internal.impl.name.FqName
 184:          3500          84000  java.util.regex.Pattern$GroupTail (java.base@21.0.8)
 185:          3486          83664  java.util.regex.Pattern$GroupHead (java.base@21.0.8)
 186:          2604          83328  java.util.regex.Pattern$Branch (java.base@21.0.8)
 187:          2083          83320  java.util.TreeMap$Entry (java.base@21.0.8)
 188:          1701          81648  com.intellij.util.xmlb.TagBinding
 189:          1455          81480  com.intellij.openapi.command.impl.EditorChangeAction
 190:          2030          81200  java.util.logging.Logger$ConfigurationData (java.logging@21.0.8)
 191:          2535          81120  com.intellij.ide.plugins.ContainerDescriptor
 192:          2533          81056  sun.nio.fs.UnixPath (java.base@21.0.8)
 193:          2521          80672  com.intellij.util.indexing.impl.ChangeTrackingValueContainer
 194:          3360          80640  ai.grazie.rules.tree.NodePattern$$Lambda/0x0000009804a02748
 195:          1675          80400  com.intellij.ui.JBColor
 196:          3331          79944  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject (java.base@21.0.8)
 197:          3325          79800  com.intellij.psi.impl.file.impl.OneItemMap
 198:          2490          79680  javax.swing.text.html.parser.ContentModel (java.desktop)
 199:          3282          78768  sun.reflect.generics.tree.SimpleClassTypeSignature (java.base@21.0.8)
 200:           544          78336  kotlin.reflect.jvm.internal.impl.metadata.ProtoBuf$Class
 201:          1902          76080  com.intellij.codeInspection.ex.ScopeToolState
 202:          4719          75504  kotlin.reflect.jvm.internal.impl.protobuf.SmallSortedMap$EntrySet
 203:          4686          74976  java.util.Collections$SingletonSet (java.base@21.0.8)
 204:          1168          74752  com.intellij.codeInsight.template.impl.TemplateImpl
 205:          2330          74560  com.intellij.util.keyFMap.PairElementsFMap
 206:          1546          74208  java.util.concurrent.locks.ReentrantReadWriteLock$NonfairSync (java.base@21.0.8)
 207:          2317          74144  ai.grazie.rules.tree.NodePattern
 208:          2298          73536  kotlinx.coroutines.debug.internal.HashedWeakRef
 209:          3048          73152  java.util.regex.Pattern$CharPropertyGreedy (java.base@21.0.8)
 210:           506          72864  com.intellij.ide.plugins.cl.PluginClassLoader
 211:          1010          72720  java.awt.geom.AffineTransform (java.desktop)
 212:          2229          71328  ai.grazie.detector.utils.collections.array.ThreeOptimizedFloatArray
 213:          4453          71248  java.util.concurrent.atomic.AtomicReference (java.base@21.0.8)
 214:           630          70560  com.intellij.codeInspection.LocalInspectionEP
 215:          1255          70280  com.intellij.util.io.PagedFileStorage
 216:          2918          70032  com.intellij.openapi.util.ObjectNode
 217:          1455          69840  com.intellij.openapi.command.undo.ImmutableActionChangeRange
